cName,cCity,cCountry,cVersion,cLength,cYearRec,cDrivRec,cLapRec
Hockenheimring,Hockenheim,Germany,Hockenheimring (1966–1970),6.769 km,NULL,NULL,NULL
Hockenheimring,Hockenheim,Germany,Kurpfalzring (1938–1965),7.692 km,NULL,NULL,NULL
Hungaroring,Budapest,Hungary,Grand Prix Circuit (2003–present),4.381 km,2020,Lewis Hamilton,76.627
Hungaroring,Budapest,Hungary,Modified Grand Prix Circuit (1989–2002),3.975 km,2002,Michael Schumacher,76.207
Hungaroring,Budapest,Hungary,Original Grand Prix Circuit (1986–1988),4.014 km,1987,Nelson Piquet,90.149
Autodromo Enzo e Dino Ferrari,Imola,Italy,Grand Prix Circuit (2008–present),4.909 km,2020,Lewis Hamilton,75.484
Autodromo Enzo e Dino Ferrari,Imola,Italy,Motorcycle Circuit (2009–present),4.936 km,NULL,NULL,NULL
Autodromo Enzo e Dino Ferrari,Imola,Italy,Grand Prix Circuit (1995–2006),4.959 km,2004,Michael Schumacher,80.411
Autodromo Enzo e Dino Ferrari,Imola,Italy,Grand Prix Circuit (1980–1994),5.040 km,1994,Damon Hill,84.335
Autodromo Enzo e Dino Ferrari,Imola,Italy,Grand Prix Circuit (1973–1979),5.060 km,1979,Gilles Villeneuve,93.61
Autodromo Enzo e Dino Ferrari,Imola,Italy,Original Grand Prix Circuit (1953–1972),5.018 km,NULL,NULL,NULL
Indianapolis Motor Speedway,Indianapolis,USA,Rectangular Oval Track (1909–present),2.500 mi,NULL,NULL,NULL
Indianapolis Motor Speedway,Indianapolis,USA,Grand Prix Road Course (2014–present),2.439 mi,NULL,NULL,NULL
Indianapolis Motor Speedway,Indianapolis,USA,Modified Motorcycle Course (2014–present),2.591 mi,NULL,NULL,NULL
Indianapolis Motor Speedway,Indianapolis,USA,SCCA Runoffs Road Course (2014–present),2.589 mi,NULL,NULL,NULL
Indianapolis Motor Speedway,Indianapolis,USA,Original Motorcycle Course (2008–2013),2.621 mi,NULL,NULL,NULL
Indianapolis Motor Speedway,Indianapolis,USA,Grand Prix Road Course (2008–2013),2.534 mi,NULL,NULL,NULL
Indianapolis Motor Speedway,Indianapolis,USA,Grand Prix Road Course (2000–2007),2.605 mi,2004,Rubens Barrichello,70.399
Autódromo José Carlos Pace,São Paulo,Brazil,Grand Prix Circuit (5th Variation)(1999–present),4.309 km,2018,Valtteri Bottas,70.54
Autódromo José Carlos Pace,São Paulo,Brazil,Stock Car Circuit with Chicane (2011–2017),4.314 km,NULL,NULL,NULL
Autódromo José Carlos Pace,São Paulo,Brazil,Grand Prix Circuit (4th Variation)(1996–1998),4.292 km,1997,Jacques Villeneuve,78.397
Autódromo José Carlos Pace,São Paulo,Brazil,Grand Prix Circuit (3rd Variation)(1990–1995),4.325 km,1994,Michael Schumacher,78.455
Autódromo José Carlos Pace,São Paulo,Brazil,Motorcycle Circuit (1992),4.352 km,NULL,NULL,NULL
Autódromo José Carlos Pace,São Paulo,Brazil,Grand Prix Circuit (2nd Variation)(1980–1989),7.873 km,1980,René Arnoux,147.311
Autódromo José Carlos Pace,São Paulo,Brazil,Original Grand Prix Circuit (1940–1979),7.960 km,1979,Jacques Laffite,148.76
Istanbul Park,Istanbul,Turkey,Grand Prix Circuit (2005–present),5.338 km,2005,Juan Pablo Montoya,84.77
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Short Circuit (1996–2012),3.336 km,NULL,NULL,NULL
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Modified Grand Prix Circuit (1996–2005),4.933 km,NULL,NULL,NULL
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Emerson Fittipaldi Speedway (1996–2005),3.000 km,NULL,NULL,NULL
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Original Grand Prix Circuit (1978–1995),5.031 km,1989,Riccardo Patrese,92.507
Jarama,Madrid,Spain,Grand Prix Circuit (1991–present),3.850 km,NULL,NULL,NULL
Jarama,Madrid,Spain,Formula E Circuit (2026),3.934 km,NULL,NULL,NULL
Jarama,Madrid,Spain,Grand Prix Circuit (1980–1990),3.314 km,1980,Alan Jones,75.467
Jarama,Madrid,Spain,Original Grand Prix Circuit (1967–1979),3.404 km,1979,Gilles Villeneuve,76.44
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Grand Prix Circuit (2021–present),6.174 km,2021,Lewis Hamilton,90.734
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Formula E Circuit (2025–present),3.001 km,NULL,NULL,NULL
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Short Circuit (2022–present),3.450 km,NULL,NULL,NULL
Circuito de Jerez,Jerez de la Frontera,Spain,Grand Prix Circuit (1994–present),4.428 km,1997,Heinz-Harald Frentzen,83.135
Circuito de Jerez,Jerez de la Frontera,Spain,Motorcycle Circuit (1992–present) & Grand Prix Circuit (1992–1993),4.423 km,NULL,NULL,NULL
Circuito de Jerez,Jerez de la Frontera,Spain,Grand Prix Circuit (1985–1991),4.218 km,1990,Riccardo Patrese,84.513
Kyalami,Midrand,South Africa,Grand Prix Circuit (2015–present),4.529 km,NULL,NULL,NULL
Kyalami,Midrand,South Africa,Grand Prix Circuit (1992–1993 and 2009–2015),4.261 km,1992,Nigel Mansell,77.578
Kyalami,Midrand,South Africa,Grand Prix Circuit (1994–2009),4.2606 km,NULL,NULL,NULL
Kyalami,Midrand,South Africa,Grand Prix Circuit (1989–1991),3.888 km,NULL,NULL,NULL
Kyalami,Midrand,South Africa,Grand Prix Circuit (1968–1988),4.104 km,1985,Keke Rosberg,68.149
Kyalami,Midrand,South Africa,Original Grand Prix Circuit (1961–1967),4.094 km,1967,Dave Charlton,87.6
Las Vegas Street Circuit,Nevada,USA,Grand Prix Circuit (2023–present),3.853 mi,2025,Max Verstappen,93.365
Le Mans,Le Mans,France,Circuit des 24 Heures du Mans (2018–present),13.626 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (2007–2017),13.629 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (2002–2006),13.650 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (1997–2001),13.605 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (1990–1996),13.600 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (1987–1989),13.535 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (1986),13.528 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (1979–1985),13.626 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (1972–1978),13.640 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (1968–1971),13.469 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (1956–1967),13.461 km,NULL,NULL,NULL
Le Mans,Le Mans,France,Circuit de la Sarthe (1932–1955),13.492 km,NULL,NULL,NULL
