cName,cCity,cCountry,cVersion,cLength,cYearRec,cDrivRec,cLapRec,cDates,circuitID,Error
Kyalami,Midrand,South Africa,Grand Prix Circuit (1992–1993 and 2009–2015),4.261 km,1992,419,77.578, 2009–2015,139,
Kyalami,Midrand,South Africa,Grand Prix Circuit,4.261 km,1992,419,77.578,1992–1993 ,139,
Kyalami,Midrand,South Africa,Grand Prix Circuit,4.2606 km,NULL,NULL,NULL,1994-2009,140,
Kyalami,Midrand,South Africa,Grand Prix Circuit,3.888 km,NULL,NULL,NULL,1989-1991,141,
Kyalami,Midrand,South Africa,Grand Prix Circuit,4.104 km,1985,563,68.149,1968-1988,142,
Kyalami,Midrand,South Africa,Original Grand Prix Circuit,4.094 km,1967,140,87.6,1961-1967,143,
Las Vegas Street Circuit,Nevada,USA,Grand Prix Circuit,6.2 km,2025,686,93.365,2023-2026,144,
Le Mans,Le Mans,France,Circuit des 24 Heures du Mans,13.626 km,NULL,NULL,NULL,2018-2026,145,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.629 km,NULL,NULL,NULL,2007-2017,146,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.650 km,NULL,NULL,NULL,2002-2006,147,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.605 km,NULL,NULL,NULL,1997-2001,148,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.600 km,NULL,NULL,NULL,1990-1996,149,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.535 km,NULL,NULL,NULL,1987-1989,150,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.528 km,NULL,NULL,NULL,1986,151,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.626 km,NULL,NULL,NULL,1979-1985,152,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.640 km,NULL,NULL,NULL,1972-1978,153,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.469 km,NULL,NULL,NULL,1968-1971,154,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.461 km,NULL,NULL,NULL,1956-1967,155,
Le Mans,Le Mans,France,Circuit de la Sarthe,13.492 km,NULL,NULL,NULL,1932-1955,156,
Le Mans,Le Mans,France,Circuit de la Sarthe,16.340 km,NULL,NULL,NULL,1929-1931,157,
Le Mans,Le Mans,France,Circuit de la Sarthe,17.262 km,NULL,NULL,NULL,1923-1928,158,
Losail International Circuit,Lusail,Qatar,Grand Prix Circuit,5.419 km,2024,480,82.384,2023-2026,159,
Losail International Circuit,Lusail,Qatar,Original Grand Prix Circuit,5.380 km,2021,686,83.196,2004-2022,160,
Circuit de Nevers Magny-Cours,Magny Cours,France,Grand Prix Circuit,4.411 km,2004,600,75.377,2003-2026,161,
Circuit de Nevers Magny-Cours,Magny Cours,France,Grand Prix Circuit,4.250 km,2002,157,75.045,1992-2002,162,
Circuit de Nevers Magny-Cours,Magny Cours,France,Grand Prix Circuit,4.271 km,1991,419,79.168,1989-1991,163,
Circuit de Nevers Magny-Cours,Magny Cours,France,Full Circuit,3.850 km,NULL,NULL,NULL,1971-1988,164,
Circuit de Nevers Magny-Cours,Magny Cours,France,Original Circuit,1.995 km,NULL,NULL,NULL,1960-1988,165,
Marina Bay Street Circuit,Marina Bay,Singapore,Grand Prix circuit,4.927 km,2025,299,93.808,2025,166,
Marina Bay Street Circuit,Marina Bay,Singapore,Revised circuit with new straight between turns 15–16,4.940 km,2024,553,94.486,2023-2024,167,
Marina Bay Street Circuit,Marina Bay,Singapore,Revised circuit with re-profiled turns 16–17,5.063 km,2018,415,101.905,2018-2022,168,
Marina Bay Street Circuit,Marina Bay,Singapore,Revised circuit with re-profiled turns 11–13,5.065 km,2017,299,105.008,2015-2017,169,
Marina Bay Street Circuit,Marina Bay,Singapore,Revised circuit with the Singapore Sling chicane at turn 10 removed,5.061 km,2013,687,108.574,2013-2014,170,
Marina Bay Street Circuit,Marina Bay,Singapore,Original circuit,5.073 km,2008,539,105.599,2008-2012,171,
Miami International Autodrome,Miami,USA,Grand Prix Circuit,5.412 km,2023,686,89.708,2022-2026,172,
Miami International Autodrome,Miami,USA,Extended Marina Loop,4.506 km,NULL,NULL,NULL,2024-2026,173,
Miami International Autodrome,Miami,USA,MIA Loop,2.321 km,NULL,NULL,NULL,2024-2026,174,
Circuit de Monaco,Monte Carlo,Monaco,Grand Prix Circuit,3.337 km,2021,299,72.909,2015-2026,175,
Circuit de Monaco,Monte Carlo,Monaco,Extended Formula E Circuit,3.318 km,NULL,NULL,NULL,2021,176,
Circuit de Monaco,Monte Carlo,Monaco,Original Formula E Circuit,1.765 km,NULL,NULL,NULL,2015-2019,177,
Circuit de Monaco,Monte Carlo,Monaco,6th Variation,3.340 km,2004,600,74.439,2003-2014,178,
Circuit de Monaco,Monte Carlo,Monaco,5th Variation,3.370 km,2002,50,78.023,1997-2002,179,
Circuit de Monaco,Monte Carlo,Monaco,4th Variation,3.328 km,1994,600,81.076,1986-1996,180,
